ISO_COUNTRY_CODE,WIN_COUNTRY_CODE
IT,IT
IT,IT
IT,IT
IT,
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,
IT,IT
IT,IT
IT,
IT,IT
IT,IT
IT,
IT,
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,
IT,IT
IT,
IT,
IT,IT
IT,IS
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
UK,UK
UK,UK
IT,
IT,
DE,DE
ES,ES
ES,ES
ES,ES
PL,PL
DE,DE
DE,DE
IT,
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
DK,DK
DK,DK
IT,
IT,IT
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,UK
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
ES,ES
DE,DE
PL,PL
PL,PL
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,BE
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
UK,UK
BE,BE
BE,FR
BE,BE
BE,BE
BE,
BE,
BE,
BE,BE
BE,FR
BE,BE
BE,BE
BE,BE
BE,BE
BE,BE
BE,BE
BE,BE
BE,BE
BE,BE
BE,BE
BE,BE
BE,
BE,BE
BE,BE
BE,BE
BE,
BE,BE
BE,FR
BE,BE
BE,BE
BE,BE
BE,BE
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
BG,BG
BG,BG
UK,UK
BG,BG
FR,FR
IT,IT
IT,IT
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
SE,SE
PL,PL
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
PL,PL
FR,FR
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
FR,FR
IT,IT
IT,IT
IT,IT
IT,IT
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
FR,FR
FR,FR
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
IT,
IT,IT
IT,HU
IT,IT
LT,LT
IT,BG
IT,BG
IT,BG
IT,BG
IT,BG
IT,
IT,IT
PL,PL
FR,FR
FR,FR
PL,DE
DE,DE
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
EE,EE
ES,
ES,ES
ES,ES
ES,ES
ES,
ES,ES
ES,ES
ES,ES
ES,ES
GR,GR
GR,GR
ES,
ES,
IT,IT
ES,
IT,IT
ES,
ES,ES
IT,IT
IT,IT
ES,
ES,
ES,
ES,ES
ES,
IT,IT
IT,IT
ES,
FI,
IT,IT
IT,IT
ES,ES
ES,ES
IT,IT
ES,ES
BG,BG
ES,ES
ES,
IT,IT
ES,
IT,IT
ES,
LT,LT
LT,LT
IT,
IT,IT
IT,IT
IT,IT
ES,ES
FR,FR
ES,ES
ES,ES
IT,IT
IT,IT
IT,IT
BG,BG
BG,BG
LT,LT
BG,
ES,
BG,BG
BG,BG
BG,BG
BG,BG
BG,BG
BG,BG
BG,BG
ES,ES
ES,
ES,
ES,
ES,
FR,FR
FR,FR
IT,IT
IT,IT
DE,DE
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
ES,ES
DE,DE
IT,IT
GR,GR
GR,GR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
ES,ES
IT,IT
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
IT,IT
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
ES,
IT,IT
ES,ES
ES,ES
ES,ES
IT,IT
FR,FR
FR,FR
FR,FR
ES,ES
BG,BG
NL,NL
FR,FR
IT,IT
ES,ES
ES,
ES,
IT,IT
NL,NL
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
BG,BG
ES,
ES,ES
ES,ES
ES,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
ES,ES
AT,AT
ES,ES
PL,PL
PL,PL
PL,PL
PL,PL
ES,ES
ES,ES
ES,ES
DK,DK
DK,DK
DK,DK
DK,DK
DK,DK
DK,DK
DK,DK
ES,ES
AT,AT
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
BG,BG
PL,PL
DK,DK
PL,PL
IT,
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
AT,AT
IT,IT
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
PL,PL
AT,AT
PL,
IT,IT
AT,AT
PL,PL
UK,UK
UK,UK
UK,UK
UK,UK
ES,ES
ES,ES
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
PL,PL
PL,PL
IT,IT
IT,
IT,IT
IT,IT
IT,IT
UK,UK
FR,FR
FR,FR
FR,FR
FR,FR
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
UK,IE
FR,FR
UK,IE
PL,PL
UK,UK
UK,UK
UK,UK
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
UK,UK
FR,
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
FR,FR
PL,PL
HU,HU
HU,HU
HU,
HU,HU
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
UK,UK
UK,UK
UK,UK
IT,IT
FR,FR
FR,FR
FR,FR
NL,NL
NL,NL
NL,NL
NL,NL
BG,BG
IT,
DE,DE
DE,DE
DE,DE
DE,DE
DE,DE
FR,FR
FR,FR
FR,FR
ES,ES
FR,FR
FR,FR
ES,ES
ES,ES
GR,
FR,FR
FR,FR
UK,UK
UK,UK
UK,UK
HU,HU
DE,DE
RO,RO
SE,SE
ES,
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,
PL,
PL,
PL,
PL,
PL,
PL,
PL,
PL,PL
PL,PL
PL,PL
BE,BE
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
IT,
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
IT,IT
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,FR
NL,NL
NL,NL
NL,NL
NL,NL
NL,NL
PL,
PL,
PL,
PL,
PL,
PL,
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
FR,FR
FR,FR
PL,PL
PL,PL
PL,PL
PL,PL
HU,HU
PL,PL
PL,PL
PL,PL
PL,PL
SI,SI
SI,SI
HU,HU
PL,PL
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
ES,
PL,PL
PL,PL
IT,IT
IT,IT
IT,IT
PL,PL
NL,
PL,PL
IT,IT
IT,IT
IT,IT
IT,IT
IT,
IT,IT
PL,PL
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
